epoch,train_mae,val_mae,val_rmse,backbone_lr,head_lr
1,95.72846984863281,53.58251953125,60.62223815917969,1.0730900648704048e-05,5.365450324352024e-05
2,19.101953506469727,10.28016185760498,12.879234313964844,1.6096350973056068e-05,8.048175486528035e-05
3,12.169175148010254,9.342914581298828,12.07248306274414,2.1461801297408095e-05,0.00010730900648704048
4,11.192028999328613,12.583843231201172,15.31666088104248,2.6827251621760116e-05,0.00013413625810880059
5,10.972075462341309,9.562247276306152,12.245527267456055,2.6827251621760116e-05,0.00013413625810880059
6,10.402045249938965,12.391341209411621,15.394123077392578,2.682551086808654e-05,0.0001341275543404327
7,9.922828674316406,8.99825382232666,11.592988967895508,2.682028905887853e-05,0.00013410144529439266
8,9.497275352478027,8.628252029418945,11.163254737854004,2.6811587549456958e-05,0.0001340579377472848
9,8.568538665771484,8.055030822753906,10.325897216796875,2.67994085982991e-05,0.00013399704299149552
10,8.429625511169434,8.29670524597168,10.71621322631836,2.6783755366452426e-05,0.00013391877683226213
11,8.206421852111816,8.405620574951172,10.809965133666992,2.6764631916714153e-05,0.00013382315958357076
12,7.823298454284668,9.466693878173828,11.914107322692871,2.674204321257676e-05,0.0001337102160628838
13,7.626152515411377,8.50739860534668,10.910331726074219,2.671599511693969e-05,0.00013357997558469846
14,7.2042717933654785,8.518132209777832,10.912467002868652,2.668649439058767e-05,0.00013343247195293835
15,7.117639541625977,7.27923059463501,9.571257591247559,2.6653548690435904e-05,0.00013326774345217952
16,6.744330406188965,7.268045902252197,9.597384452819824,2.661716656754276e-05,0.0001330858328377138
17,6.558843612670898,7.551430702209473,10.012739181518555,2.6577357464890313e-05,0.00013288678732445157
18,6.403597831726074,7.525390625,9.800416946411133,2.6534131714933435e-05,0.00013267065857466717
19,6.264469623565674,7.592934608459473,9.798175811767578,2.6487500536918007e-05,0.00013243750268459003
20,6.068768501281738,7.234747409820557,9.535086631774902,2.643747603396894e-05,0.00013218738016984472
21,6.036800384521484,7.515223503112793,9.815632820129395,2.6384071189948857e-05,0.00013192035594974429
22,5.865738391876221,8.002998352050781,10.329278945922852,2.6327299866088066e-05,0.00013163649933044033
23,5.711287021636963,7.90593147277832,10.228686332702637,2.6267176797386933e-05,0.00013133588398693465
24,5.60313081741333,7.188104152679443,9.432373046875,2.6203717588791376e-05,0.0001310185879439569
25,5.337329387664795,7.31802225112915,9.570494651794434,2.613693871114262e-05,0.0001306846935557131
26,5.221493244171143,7.429429054260254,9.647435188293457,2.6066857496902187e-05,0.00013033428748451096
27,5.345870494842529,7.311858654022217,9.484185218811035,2.5993492135653247e-05,0.00012996746067826624
28,5.005967617034912,8.82094955444336,11.117572784423828,2.5916861669379502e-05,0.00012958430834689752
29,4.989447116851807,9.592504501342773,11.956665992736816,2.5836985987522864e-05,0.00012918492993761434
30,4.758521556854248,7.17756462097168,9.469518661499023,2.575388582182114e-05,0.0001287694291091057
31,4.682755947113037,7.177215099334717,9.343314170837402,2.5667582740927084e-05,0.0001283379137046354
32,4.639163970947266,6.917298316955566,9.208434104919434,2.557809914481029e-05,0.00012789049572405146
33,4.611082553863525,7.36199426651001,9.636902809143066,2.548545825894325e-05,0.00012742729129471627
34,4.47232723236084,7.782328128814697,10.148048400878906,2.5389684128273197e-05,0.000126948420641366
35,4.2305803298950195,8.130017280578613,10.315034866333008,2.5290801610981227e-05,0.00012645400805490615
36,4.260370254516602,7.06972074508667,9.347442626953125,2.518883637203037e-05,0.00012594418186015187
37,4.190224647521973,6.9205241203308105,9.158684730529785,2.5083814876504226e-05,0.00012541907438252112
38,4.170066833496094,7.167438983917236,9.447691917419434,2.497576438273797e-05,0.00012487882191368986
39,4.13339900970459,7.092574596405029,9.305571556091309,2.4864712935243455e-05,0.0001243235646762173
40,4.0566205978393555,7.177221298217773,9.4229097366333,2.4750689357430228e-05,0.00012375344678715116
41,3.8919408321380615,6.97265625,9.326973915100098,2.4633723244124437e-05,0.0001231686162206222
42,3.8309693336486816,6.9190239906311035,9.188519477844238,2.4513844953887498e-05,0.0001225692247694375
43,3.91267991065979,6.852723121643066,9.056437492370605,2.439108560113649e-05,0.00012195542800568246
44,3.8498895168304443,7.25631046295166,9.550460815429688,2.426547704806846e-05,0.00012132738524034231
45,3.637019395828247,8.211581230163574,10.641165733337402,2.4137051896390542e-05,0.00012068525948195272
46,3.59019136428833,7.616184234619141,9.951573371887207,2.4005843478858205e-05,0.00012002921739429103
47,3.6218464374542236,7.7005720138549805,10.095584869384766,2.3871885850623733e-05,0.00011935942925311867
48,3.4626193046569824,6.940860271453857,9.208392143249512,2.373521378039721e-05,0.00011867606890198605
49,3.526986598968506,6.926755905151367,9.129268646240234,2.3595862741422276e-05,0.00011797931370711138
50,3.4581797122955322,7.255776405334473,9.535555839538574,2.3453868902269082e-05,0.00011726934451134541
51,3.44035005569458,7.127524375915527,9.255792617797852,2.330926911744671e-05,0.00011654634558723357
52,3.376248359680176,7.133594512939453,9.349007606506348,2.3162100917837586e-05,0.00011581050458918794
53,3.3463685512542725,7.0071916580200195,9.297527313232422,2.3012402500956345e-05,0.00011506201250478173
54,3.274250030517578,7.232436180114746,9.520537376403809,2.2860212721035663e-05,0.00011430106360517832
55,3.3169572353363037,7.8975830078125,10.065998077392578,2.2705571078941623e-05,0.00011352785539470812
56,3.262502908706665,6.857202529907227,8.990654945373535,2.2548517711921288e-05,0.00011274258855960645
57,3.1495203971862793,7.07454776763916,9.332847595214844,2.2389093383185064e-05,0.00011194546691592532
58,2.992196559906006,7.5872368812561035,9.892803192138672,2.2227339471326598e-05,0.00011113669735663298
59,3.0585567951202393,6.854955673217773,9.030437469482422,2.2063297959582966e-05,0.00011031648979791482
60,3.0434091091156006,6.857521057128906,9.061514854431152,2.189701142493794e-05,0.00010948505712468972
61,2.9602034091949463,7.030025005340576,9.281597137451172,2.1728523027071115e-05,0.00010864261513535558
62,2.9120988845825195,7.79863166809082,10.043743133544922,2.155787649715579e-05,0.00010778938248577895
63,2.9837405681610107,6.678106784820557,8.915670394897461,2.138511612650858e-05,0.0001069255806325429
64,2.950042724609375,6.704056262969971,8.922088623046875,2.1210286755093573e-05,0.00010605143377546786
65,2.965637445449829,6.674581050872803,8.869721412658691,2.103343375988413e-05,0.00010516716879942067
66,2.8894779682159424,7.303094387054443,9.529062271118164,2.085460304308529e-05,0.00010427301521542646
67,2.8224847316741943,6.888328552246094,9.136913299560547,2.0673841020219832e-05,0.00010336920510109916
68,2.841632843017578,6.608940601348877,8.761327743530273,2.0491194608081136e-05,0.00010245597304040568
69,2.7989118099212646,6.821831226348877,9.00877571105957,2.0306711212555932e-05,0.00010153355606277966
70,2.867077112197876,6.708856105804443,8.921353340148926,2.0120438716320085e-05,0.00010060219358160044
71,2.7224740982055664,6.77675199508667,8.972352981567383,1.9932425466410667e-05,9.966212733205334e-05
72,2.739809274673462,6.6685895919799805,8.854464530944824,1.974272026167745e-05,9.871360130838725e-05
73,2.6238391399383545,6.655910491943359,8.845446586608887,1.955137234011719e-05,9.775686170058596e-05
