epoch,train_mae,val_mae,val_rmse,backbone_lr,head_lr
1,52.50590133666992,15.502168655395508,19.855716705322266,1.1561173085304261e-05,0.0001156117308530426
2,14.233136177062988,12.210482597351074,15.456389427185059,1.7341759627956388e-05,0.00017341759627956388
3,11.762859344482422,9.780165672302246,12.516810417175293,2.3122346170608522e-05,0.0002312234617060852
4,10.84249496459961,9.697443962097168,12.445927619934082,2.890293271326065e-05,0.0002890293271326065
5,9.774784088134766,9.581894874572754,12.244569778442383,2.890293271326065e-05,0.0002890293271326065
6,9.059657096862793,10.6130952835083,13.312479019165039,2.890105727380054e-05,0.0002890105727380054
7,8.353100776672363,7.475862979888916,9.728862762451172,2.8895431442190632e-05,0.00028895431442190633
8,7.9210286140441895,7.60183572769165,9.758045196533203,2.8886056678615842e-05,0.0002888605667861584
9,7.466979503631592,8.382490158081055,10.384360313415527,2.887293541629659e-05,0.00028872935416296593
10,7.133195400238037,6.89680290222168,9.068036079406738,2.8856071060857268e-05,0.0002885607106085727
11,7.000506401062012,6.7891764640808105,8.815094947814941,2.8835467989442288e-05,0.0002883546798944229
12,6.713665008544922,6.6268205642700195,8.696967124938965,2.8811131549580022e-05,0.0002881113154958002
13,6.545122146606445,7.866231441497803,10.316251754760742,2.8783068057794825e-05,0.0002878306805779482
14,6.356498718261719,7.555866718292236,9.76682186126709,2.8751284797967598e-05,0.000287512847979676
15,6.36836051940918,6.320730209350586,8.385035514831543,2.8715790019445247e-05,0.00028715790019445247
