epoch,train_mae,val_mae,val_rmse,backbone_lr,head_lr
1,52.50590133666992,15.502168655395508,19.855716705322266,1.1561173085304261e-05,0.0001156117308530426
2,14.233136177062988,12.210482597351074,15.456389427185059,1.7341759627956388e-05,0.00017341759627956388
3,11.762859344482422,9.780165672302246,12.516810417175293,2.3122346170608522e-05,0.0002312234617060852
4,10.84249496459961,9.697443962097168,12.445927619934082,2.890293271326065e-05,0.0002890293271326065
5,9.774784088134766,9.581894874572754,12.244569778442383,2.890293271326065e-05,0.0002890293271326065
6,9.059657096862793,10.6130952835083,13.312479019165039,2.890105727380054e-05,0.0002890105727380054
7,8.353100776672363,7.475862979888916,9.728862762451172,2.8895431442190632e-05,0.00028895431442190633
8,7.9210286140441895,7.60183572769165,9.758045196533203,2.8886056678615842e-05,0.0002888605667861584
9,7.466979503631592,8.382490158081055,10.384360313415527,2.887293541629659e-05,0.00028872935416296593
10,7.133195400238037,6.89680290222168,9.068036079406738,2.8856071060857268e-05,0.0002885607106085727
11,7.000506401062012,6.7891764640808105,8.815094947814941,2.8835467989442288e-05,0.0002883546798944229
12,6.713665008544922,6.6268205642700195,8.696967124938965,2.8811131549580022e-05,0.0002881113154958002
13,6.545122146606445,7.866231441497803,10.316251754760742,2.8783068057794825e-05,0.0002878306805779482
14,6.356498718261719,7.555866718292236,9.76682186126709,2.8751284797967598e-05,0.000287512847979676
15,6.36836051940918,6.320730209350586,8.385035514831543,2.8715790019445247e-05,0.00028715790019445247
16,6.387736797332764,8.44670295715332,10.858592987060547,2.8676592934899575e-05,0.00028676592934899573
17,6.082002639770508,6.6517438888549805,8.81019115447998,2.8633703717936115e-05,0.00028633703717936116
18,5.987945079803467,6.543581008911133,8.657644271850586,2.858713350045359e-05,0.00028587133500453587
19,5.8861403465271,7.124573707580566,9.4122896194458,2.853689436975461e-05,0.0002853689436975461
20,5.653812885284424,6.342334747314453,8.4741792678833,2.848299936540842e-05,0.00028482999365408415
21,5.583374977111816,7.832912445068359,10.077654838562012,2.842546247586649e-05,0.0002842546247586649
22,5.5540547370910645,6.669569969177246,8.933631896972656,2.8364298634831794e-05,0.00028364298634831793
23,5.312109470367432,6.681172847747803,8.82497501373291,2.8299523717382773e-05,0.0002829952371738277
24,5.253568649291992,6.639532566070557,8.806992530822754,2.8231154535852957e-05,0.0002823115453585296
25,5.325449466705322,6.562297344207764,8.853404998779297,2.815920883546733e-05,0.0002815920883546733
26,5.000148773193359,6.69514274597168,8.892633438110352,2.8083705289736544e-05,0.00028083705289736545
27,4.9875946044921875,6.919586658477783,9.077415466308594,2.800466349561022e-05,0.00028004663495610223
28,4.861234188079834,6.78299617767334,9.00374698638916,2.7922103968390546e-05,0.00027922103968390543
29,4.896255970001221,6.973421573638916,9.194958686828613,2.783604813640753e-05,0.0002783604813640753
30,4.724179744720459,6.4272379875183105,8.59030532836914,2.7746518335457308e-05,0.0002774651833545731
31,4.785343647003174,7.1331892013549805,9.358485221862793,2.7653537803004822e-05,0.00027653537803004824
32,4.568432331085205,6.958106994628906,9.14104175567627,2.755713067215261e-05,0.0002755713067215261
33,4.441628456115723,6.76161527633667,8.979693412780762,2.7457321965376995e-05,0.00027457321965376996
34,4.3752899169921875,6.619537830352783,8.877972602844238,2.735413758803354e-05,0.0002735413758803354
35,4.233864784240723,7.434611797332764,9.911921501159668,2.7247604321633285e-05,0.0002724760432163328
